지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",CGV 방학 2관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 4~5층 (방학동)",CGV 방학 7관,203799.8653,462533.4302
서울특별시 도봉구 방학동 707-6,"서울특별시 도봉구 도봉로 684, 6~7층 (방학동)",CGV 방학 3관,203799.8653,462533.4302
서울특별시 노원구 상계동 1132-35 3층~9층,"서울특별시 노원구 동일로 1660, 3층~9층 (상계동, 롯데시네마 수락산)",롯데시네마 노원수락산역 제5관,204839.9779,463796.3812
서울특별시 노원구 상계동 1132-35 3층~9층,"서울특별시 노원구 동일로 1660, 3층~9층 (상계동, 롯데시네마 수락산)",롯데시네마 노원수락산역 제4관,204839.9779,463796.3812
서울특별시 노원구 상계동 1132-35 3층~9층,"서울특별시 노원구 동일로 1660, 3층~9층 (상계동, 롯데시네마 수락산)",롯데시네마 노원수락산역 제3관,204839.9779,463796.3812
서울특별시 양천구 목동 917-6 행복한세상백화점 7층,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",메가박스중앙(주) 목동지점 COMFORT 2관,188977.1711,447466.355
서울특별시 양천구 목동 917-6 행복한세상백화점 7층,"서울특별시 양천구 목동동로 309 (목동,행복한세상백화점 7층)",메가박스중앙(주) 목동지점 COMFORT 5관,188977.1711,447466.355
서울특별시 마포구 동교동 160-4 아일렉스,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",메가박스중앙(주) 홍대지점 4관,193046.5347,450424.5645
서울특별시 마포구 동교동 160-4 아일렉스,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",메가박스중앙(주) 홍대지점 5관,193046.5347,450424.5645
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 컴포트 7관,205130.5917,445590.0968
서울특별시 용산구 한강로3가 40-999,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",씨지브이 용산아이파크몰 제7관,196762.0774,447480.0396
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 소상영관 A,205130.5917,445590.0968
서울특별시 마포구 동교동 160-4 아일렉스,"서울특별시 마포구 양화로 147, 아일렉스 7층 (동교동)",메가박스중앙(주) 홍대지점 1관,193046.5347,450424.5645
